Name|Index|Order|p2_Variant|Set_(Layered)_Id|P3_Type|P4_Equip_slot|Defense|Model_Id_1|Model_Id_2|Icon_Color|Icon_Effect|Rarity|Cost|Fire_Res|Water_Res|Ice_Res|Thunder_Res|Dragon_Res|Slot_Count|Slot_1_Size|Slot_2_Size|Slot_3_Size|Set_Skill_1|Set_Skill_1_Level|Hidden_Skill|Hidden_Skill_Level|Skill_1|Skill_1_Level|Skill_2|Skill_2_Level|Skill_3|Skill_3_Level|Gender|P1_Set_Group|Is_Permanent|Description
Leather Headgear|0|1|Low_Rank|1|Regular|Head|4|1|0|0|0|0|100|2|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|77: Hunger Resistance|1|0: --------|0|0: --------|0|Unisex|2|False|Armor made of treated monster hide. A safe choice, designed for multi-purpose use.
Chainmail Headgear|1|2|Low_Rank|15|Regular|Head|4|14|0|0|0|0|100|0|2|0|0|0|0|0|0|0|0: --------|0|0: --------|0|94: Master Gatherer|1|0: --------|0|0: --------|0|Unisex|15|False|Armor made of woven chain links. Its familiar design inspires trust in hunters who wear it.
Hunter's Headgear|2|3|Low_Rank|2|Regular|Head|12|2|0|0|0|0|200|2|2|0|0|0|0|0|0|0|0: --------|0|0: --------|0|105: Scoutfly Range Up|1|0: --------|0|0: --------|0|Unisex|1|False|Armor widely used among hunters. Its sturdy build gives peace of mind.
Bone Helm|3|4|Low_Rank|5|Regular|Head|12|3|0|0|0|0|200|2|0|0|2|2|0|0|0|0|0: --------|0|0: --------|0|21: Health Boost|1|0: --------|0|0: --------|0|Unisex|5|False|Traditional armor crafted from monster bones. Believe it or not, it offers pretty good insulation.
Alloy Helm|4|10|Low_Rank|6|Regular|Head|8|4|0|0|0|1|500|-2|1|-2|-2|1|0|0|0|0|0: --------|0|0: --------|0|12: Windproof|1|0: --------|0|0: --------|0|Unisex|6|False|Armor made of fine machalite ore. What it lacks in charm it more than makes up in defense.
Vespoid Helm|5|5|Low_Rank|9|Regular|Head|8|7|0|0|0|0|200|-2|1|1|1|2|0|0|0|0|0: --------|0|0: --------|0|81: Quick Sheath|1|0: --------|0|0: --------|0|Unisex|9|False|Armor made from hard Vespoid carapace. Though weak to fire element, it offers solid defense.
Jagras Helm|6|8|Low_Rank|4|Regular|Head|8|8|0|0|0|0|200|-2|2|-1|-1|1|0|0|0|0|0: --------|0|0: --------|0|85: Speed Eating|1|0: --------|0|0: --------|0|Unisex|4|False|Diligently polished Great Jagras scale marries steel in beautiful harmony in this armor.
Kulu Headpiece|7|9|Low_Rank|10|Regular|Head|10|9|0|0|0|0|200|0|-3|1|0|0|0|0|0|0|0: --------|0|0: --------|0|24: Fire Resistance|1|0: --------|0|0: --------|0|Unisex|10|False|The elegant color and beautiful design of this Kulu-Ya-Ku armor make it perennially popular.
Pukei Hood|8|11|Low_Rank|11|Regular|Head|12|10|0|0|0|1|500|0|3|0|-3|1|0|0|0|0|0: --------|0|0: --------|0|108: Survival Expert|1|0: --------|0|0: --------|0|Unisex|11|False|Pukei-Pukei armor engineered to protect vital body parts with a very modest amount of materials.
Barroth Helm|9|12|Low_Rank|13|Regular|Head|14|12|0|0|0|1|500|-3|-1|-1|3|0|0|0|0|0|0: --------|0|0: --------|0|80: Guard|1|0: --------|0|0: --------|0|Unisex|13|False|A wyvern could trample this armor made of Barroth shell and not leave a single crack.
Jyura Helm|10|13|Low_Rank|12|Regular|Head|14|11|0|0|0|1|500|-1|2|0|-3|0|0|0|0|0|0: --------|0|0: --------|0|109: Aquatic/Polar Mobility|1|0: --------|0|0: --------|0|Unisex|12|False|A special process was used to treat the hard mud caked on this Jyuratodus armor in order to improve durability.
